interaction_id	host_taxid	host_organism	host_uniprot	host_gene	virus_taxid	virus_organism	virus_uniprot	virus_gene	interaction_type	detection_method	publication	publication_id	source_database	confidence
intact:EBI-7114045|mint:MINT-13921	9606	human	Q9Y297	BTRC	10141	cavpo	P63209	SKP1	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Cenciarelli et al. (1999)	pubmed:10531035|mint:MINT-5211921	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.51
intact:EBI-7114140|mint:MINT-16854	9606	human	Q9UKT5	FBXO4	10141	cavpo	P63209	SKP1	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Cenciarelli et al. (1999)	pubmed:10531035|mint:MINT-5211921	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.51
intact:EBI-7114083|mint:MINT-16971	9606	human	Q9UKT7	FBXL3	10141	cavpo	P63209	SKP1	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Cenciarelli et al. (1999)	pubmed:10531035|mint:MINT-5211921	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.51
intact:EBI-7114170|mint:MINT-15782	9606	human	Q9UKT8	FBXW2	10141	cavpo	P63209	SKP1	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Cenciarelli et al. (1999)	pubmed:10531035|mint:MINT-5211921	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.51
intact:EBI-7114255|mint:MINT-13920	9606	human	Q9Y297	BTRC	10141	cavpo	P63209	SKP1	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0011""(beta lactamase complementation)"	Cenciarelli et al. (1999)	pubmed:10531035|mint:MINT-5211921	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.51
intact:EBI-7114312|mint:MINT-15781	9606	human	Q9UKT8	FBXW2	10141	cavpo	P63209	SKP1	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0011""(beta lactamase complementation)"	Cenciarelli et al. (1999)	pubmed:10531035|mint:MINT-5211921	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.51
intact:EBI-7114414|mint:MINT-16853	9606	human	Q9UKT5	FBXO4	10141	cavpo	P63209	SKP1	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0011""(beta lactamase complementation)"	Cenciarelli et al. (1999)	pubmed:10531035|mint:MINT-5211921	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.51
intact:EBI-7114348|mint:MINT-16970	9606	human	Q9UKT7	FBXL3	10141	cavpo	P63209	SKP1	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0011""(beta lactamase complementation)"	Cenciarelli et al. (1999)	pubmed:10531035|mint:MINT-5211921	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.51
intact:EBI-7114434|mint:MINT-17106	9606	human	Q9Y3I1	FBXO7	10141	cavpo	P63209	SKP1	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0011""(beta lactamase complementation)"	Cenciarelli et al. (1999)	pubmed:10531035|mint:MINT-5211921	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.53
intact:EBI-7114208|mint:MINT-17107	9606	human	Q9Y3I1	FBXO7	10141	cavpo	P63209	SKP1	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0096""(pull down)"	Cenciarelli et al. (1999)	pubmed:10531035|mint:MINT-5211921	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.53
intact:EBI-7369242|mint:MINT-15543	9606	human	O60563	CCNT1	11679	hv112	P04326	tat	"psi-mi:""MI:2364""(proximity)"	"psi-mi:""MI:0055""(fluorescent resonance energy transfer)"	Zhang et al. (2000)	pubmed:10944537|mint:MINT-5212906	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.54
intact:EBI-7333982|mint:MINT-17425	9606	human	P53999	SUB1	11679	hv112	P04326	tat	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0018""(two hybrid)"	Holloway et al. (2000)	pubmed:10887206|mint:MINT-5212759	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.59
intact:EBI-7334047|mint:MINT-17426	9606	human	P53999	SUB1	11679	hv112	P04326	tat	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0096""(pull down)"	Holloway et al. (2000)	pubmed:10887206|mint:MINT-5212759	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.59
intact:EBI-7334070|mint:MINT-17427	9606	human	P53999	SUB1	11679	hv112	P04326	tat	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Holloway et al. (2000)	pubmed:10887206|mint:MINT-5212759	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.59
intact:EBI-7389632|mint:MINT-18773	9606	human	O95630	STAMBP	10090	mouse	O88811	Stam2	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Kato et al. (2000)	pubmed:10982817|mint:MINT-5212988	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.40
intact:EBI-7389743|mint:MINT-17734	9606	human	O95630	STAMBP	10090	mouse	P70297	Stam	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0096""(pull down)"	Kato et al. (2000)	pubmed:10982817|mint:MINT-5212988	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.44
intact:EBI-8553948|mint:MINT-15748	9606	human	Q13363	CTBP1	28285	ade05	P03255		"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0011""(beta lactamase complementation)"	Schaeper et al. (1995)	mint:MINT-5220298|pubmed:7479821|doi:10.1073/pnas.92.23.10467	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.59
